rating,rating_raw,date,content
3.5,★★★½,2016-02-16,"★★★½
Watched by Peter Martin 16 Feb 2016
Fresh combo of comedy, mystery, and social issues. Avoids a heavy hand; aimed at youngsters but with more than enough to delight oldsters.
2 likes"
3.5,★★★½,2016-02-01,"★★★½ Watched by Elisa G. 01 Feb 2016
Una gran bella aggiunta al canone ufficiale Disney, capace di comunicare con brio i grandi messaggi disneyani di positività e possibilità al pubblico più giovane senza perdere il polso della contemporaneità adulta e delle sue nevrosi.
2 likes"
3,★★★,2016-02-17,"★★★
Watched by richardson abdinegara 17 Feb 2016
funny and surprisingly heartfelt
3 likes"
5,★★★★★,2016-02-17,"★★★★★
Watched by AdrianReinhart 17 Feb 2016
Amazing movie from Disney.
Taught about true friendship; accepting each other without judging and accept them for who they are.
And this movie taught that your limit is your own; anything is possible as long as you work hard for it.
Recommended movie!
3 likes"
5,★★★★★,2016-02-17,"★★★★★
Watched by Shinmei90 17 Feb 2016
Ya tengo nueva peli Disney favorita xD
(Vale no, Rompe Ralph me puede xD)
2 likes"
5,★★★★★,2016-02-17,"★★★★★
Watched by Mehdi Zadnane 17 Feb 2016
Filled with fantastic humor, great characters and a smart plot that actually has quite a few things to say, Zootopia is one of Disney animation's strongest offerings in years.
3 likes"
3.5,★★★½,2016-02-14,"★★★½ Watched by esteban 14 Feb 2016
4
79% 🍅 - Walt Disney presents : Chinatown Confidential
Sounds crazy, right? What's even more surprising, is the fact that I'm not kidding. Not at all. The creators of Zootopia were clearly heavily inspired by those classic movies. And it shows the whole running time, with confidence and proud. I guess in some way, you can see Byron Howard and Rich Moore as the Roman Polanski and Brian De Palma of Walt Disney Animation, bringing one of the studio's most… more
15 likes"
,,2016-02-17,"Watched by adam 17 Feb 2016
Starts off entertaining and quippy enough to satisfy both adults and kids, but by the third act it takes a surprising turn into social commentary and stereotypes. While this can feel a bit heavy handed, ""Zootopia"" does a solid job at getting its message across that fits into both the narrative and tone of the story. It doesn't necessarily stick all of its landings perfectly, but damn', do I admire this for diving in so deep.
20 likes"
3.5,★★★½,2016-02-17,"★★★½ Watched by Zainal Al-Qautsar 17 Feb 2016
Disney kembali menghadirkan karya terbarunya berjudul ""Zootopia"", suatu tempat berkumpulnya semua jenis hewan yang hidup bermasyarakat layaknya manusia.
Sebuah gebrakan baru dari Disney menurutku, premis yang di tawarkan kali ini membuat penonton berpikir karena Zootopia tak lain seperti sebuah film detektif yang mengungkap siapa dan mengapa.
Pergerakan alur yang baik, komedi ringan yang ditawarkan pun terasa cukup efektif. Sajian utaman film ini adalah sebuah misteri yang memang harus dipecahkan, namun tak melupakan tugasnya menghibur penonton dengan tingkah kocak karakter didalamnya.
2 likes"
4,★★★★,2016-02-16,"★★★★ Watched by Paco Casado 16 Feb 2016
2
Magnífica muestra de cine negro con magistrales toques de comedia más negra aun. Entre el Wilder más cínico y el Polanski más Chinatown. Por cierto, es de animales antropomorfizados. Pero eso es lo de menos.
6 likes"
