rating,rating_raw,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count
5.0,★★★★★,2016-02-17,"★★★★★
Watched by Mehdi Zadnane 17 Feb 2016
Filled with fantastic humor, great characters and a smart plot that actually has quite a few things to say, Zootopia is one of Disney animation's strongest offerings in years.
3 likes",39,en,watched mehdi zadnane feb filled fantastic humor great character smart plot actually quite thing say zootopia one disney animation strongest offering year like,2016-02,23
3.5,★★★½,2016-02-14,"★★★½ Watched by esteban 14 Feb 2016
4
79% 🍅 - Walt Disney presents : Chinatown Confidential
Sounds crazy, right? What's even more surprising, is the fact that I'm not kidding. Not at all. The creators of Zootopia were clearly heavily inspired by those classic movies. And it shows the whole running time, with confidence and proud. I guess in some way, you can see Byron Howard and Rich Moore as the Roman Polanski and Brian De Palma of Walt Disney Animation, bringing one of the studio's most… more
15 likes",91,en,watched esteban feb walt disney present chinatown confidential sound crazy right even surprising fact kidding creator zootopia clearly heavily inspired classic movie show whole running time confidence proud guess way see byron howard rich moore roman polanski brian de palma walt disney animation bringing one studio like,2016-02,47
5.0,★★★★★,2016-02-17,"★★★★★
Watched by Brandon 17 Feb 2016
Quickie--Zootopia! Disney animation has done it again! I straight up LOVE this movie. A rich story, great animation, a perfect voice cast, and awesome humor. You definitely need to go see this one. Disney/Pixar had two movies release last year and I would consider both of them inferior to this gem right here. No words, just go catch this flick on March 4, 2016!
I give Zootopia a 95%
2 likes",78,en,watched brandon feb quickie zootopia disney animation done straight love movie rich story great animation perfect voice cast awesome humor definitely need go see one disney pixar two movie release last year would consider inferior gem right word go catch flick march give zootopia like,2016-02,45
5.0,★★★★★,2016-02-18,"★★★★★
Watched by Pineapple St. James 18 Feb 2016
Zootopia is the modern metropolis, populated by all manner of mammals. Everyone has an equal opportunity to better themselves, but most resign themselves to their fates. Rabbits are farmers and a lion is Mayor. For Judy Hopps (Ginnifer Goodwin), her improbable dreams of becoming a police and making Zootopia safer are laughable to most. Bunnies aren't meant to be cops.
Zootopia, is easily the best Disney film since Frozen (2013). It's take on discrimination, racial profiling and sexism is profound,… more
2 likes",92,en,watched pineapple st james feb zootopia modern metropolis populated manner mammal everyone equal opportunity better resign fate rabbit farmer lion mayor judy hopps ginnifer goodwin improbable dream becoming police making zootopia safer laughable bunny meant cop zootopia easily best disney film since frozen take discrimination racial profiling sexism profound like,2016-02,50
4.0,★★★★,2016-02-17,"★★★★
Watched by Conan Tan 17 Feb 2016
Film #55 of the Walt Disney animated canon. The story seemed to work better when the focus shifted from Nick Wilde's character to Judy Hopps.
2 likes",35,en,watched conan tan feb film walt disney animated canon story seemed work better focus shifted nick wilde character judy hopps like,2016-02,21
4.5,★★★★½,2016-02-19,"★★★★½
Watched by Jody Pangilinan 19 Feb 2016
Zootopia is indeed like nothing you've ever seen be-fur. First few minutes and I'm already overwhelmed by the visuals. I enjoyed it from beginning to end!
2 likes",36,en,watched jody pangilinan feb zootopia indeed like nothing ever seen fur first minute already overwhelmed visuals enjoyed beginning end like,2016-02,20
3.0,★★★,2016-02-19,"★★★ Watched by Laura Jenny 19 Feb 2016
Cinema
No likes yet",12,en,watched laura jenny feb cinema like yet,2016-02,7
3.5,★★★½,2016-02-17,"★★★½ Watched by PASKALIS DAMAR 17 Feb 2016
1
Zootopia still manages to have all the inventive world-building, all the likable characters, and all the funny moment, in spite of its choppy narratives. This literal animal kingdom is definitely funny without patronizing; however, it could’ve been funnier.
More: sinekdoks.com/2016/02/18/zootopia-2016-review/
3 likes",51,en,watched paskalis damar feb zootopia still manages inventive world building likable character funny moment spite choppy narrative literal animal kingdom definitely funny without patronizing however could funnier sinekdoks com zootopia review like,2016-02,32
3.0,★★★,2016-02-19,"★★★ Watched by mwheelock 19 Feb 2016
An animated commentary on modern life
1 like",15,en,watched mwheelock feb animated commentary modern life like,2016-02,8
4.0,★★★★,2016-02-20,"★★★★ Watched by Rampaging Puppy 20 Feb 2016
THE SLOTH. Oh my goodness. I haven't laughed that much in ages!
Zootopia is an unexpectedly delightful film. Underneath the fairly simple plot lies a good message about prejudice and why we should learn to overcome it.
3 likes",47,en,watched rampaging puppy feb sloth oh goodness laughed much age zootopia unexpectedly delightful film underneath fairly simple plot lie good message prejudice learn overcome like,2016-02,25
4.5,★★★★½,2016-02-20,"★★★★½
Watched by Paolo Alfar 20 Feb 2016
Out of “Zootopia” comes one of Disney’s cleverest scripts, for the fact it successfully pulls off a new spin on their usual fables. Well, the concept isn’t new – an animal buddy cop movie, but in usual Disney animated magic, it is a fun new creation. At the center of this buddy cop movie is bunny Judy Hopps (a wonderful Ginnifer Goodwin), an aspiring cadet who is landed on parking duty, despite being a valedictorian in police academy. But when… more
1 like",91,en,watched paolo alfar feb zootopia come one disney cleverest script fact successfully pull new spin usual fable well concept new animal buddy cop movie usual disney animated magic fun new creation center buddy cop movie bunny judy hopps wonderful ginnifer goodwin aspiring cadet landed parking duty despite valedictorian police academy like,2016-02,51
4.5,★★★★½,2016-02-18,"★★★★½
Watched by Red Red Milly 18 Feb 2016
Such a great surprise, one of the best Disney movies.
A
3 likes",22,en,watched red red milly feb great surprise one best disney movie like,2016-02,12
4.0,★★★★,2016-02-20,"★★★★
Watched by Goldmon Iporac 20 Feb 2016
Contains light spoilers, if you've only seen the marketing for this
Contrary to its marketing, this isn't just another movie about talking, anthropomorphic animals filled with animal puns.
It's probably done on purpose, because this is Disney's most political movie in recent years. It's an Aesop fable for the modern age; where conversations about race tends to go south quickly, fearmongering has lead to Trump becoming the frontrunner of the GOP in the US Presidential Elections, & #BlackLivesMatter became a prominent… more
4 likes",92,en,watched goldmon iporac feb contains light spoiler seen marketing contrary marketing another movie talking anthropomorphic animal filled animal pun probably done purpose disney political movie recent year aesop fable modern age conversation race tends go south quickly fearmongering lead trump becoming frontrunner gop u presidential election blacklivesmatter became prominent like,2016-02,50
3.0,★★★,2016-02-20,"★★★
Watched by David Moyes 20 Feb 2016
GFF 2016
Film 2: Pretty fun disney film with a very cool world and breaking bad references
No likes yet",28,en,watched david moyes feb gff film pretty fun disney film cool world breaking bad reference like yet,2016-02,17
4.0,★★★★,2016-02-20,"★★★★
Watched by Alex 20 Feb 2016
This was one of the worst theater experiences I've ever had and ill tell you why.
1.The kid behind me kept kicking my seat.
2.Half way through the movie some kid a couple seats in front of me threw up.
3.Near the end some woman behind me yelled so loud my it hurt my ear.
4.The kid next to me wouldn't stop moving and also talked.
5.Kids would keep talking constantly throughout the entire movie.
6. Some of the adults would talk.
Other than that Zootopia was great!
5 likes",97,en,watched alex feb one worst theater experience ever ill tell kid behind kept kicking seat half way movie kid couple seat front threw near end woman behind yelled loud hurt ear kid next stop moving also talked kid would keep talking constantly throughout entire movie adult would talk zootopia great like,2016-02,51
4.0,★★★★,2016-02-21,"★★★★
Watched by Luis_989 21 Feb 2016
Funny and well done!!
18 likes",13,en,watched luis feb funny well done like,2016-02,7
4.0,★★★★,2016-02-20,"★★★★
Watched by Benrich 20 Feb 2016
Disney's take on bigotry and discrimination taken in the personification of cute animals and stunning animation. Unusually mature with a nice fast pacing, this is definitely a movie that kids today have to see, because who knows, maybe they'll learn a thing or two about how not to be ignorant fuckers.
3 likes",60,en,watched benrich feb disney take bigotry discrimination taken personification cute animal stunning animation unusually mature nice fast pacing definitely movie kid today see know maybe learn thing two ignorant fucker like,2016-02,31
4.5,★★★★½,2016-02-21,"★★★★½
Watched by Irvin Malcolm 21 Feb 2016
In an alternate universe where mammals are the most evolved species, a female bunny becomes the first bunny police officer and is forced to team up with a con-man fox to solve a case. This film is pretty terrific. It's a surprisingly well-constructed procedural mystery with some twists and turns and at the same time it's a really funny buddy cop comedy with some truly funny sequences (that is in addition to the already hilarious DMV sloth sequence). And on… more
1 like",91,en,watched irvin malcolm feb alternate universe mammal evolved specie female bunny becomes first bunny police officer forced team con man fox solve case film pretty terrific surprisingly well constructed procedural mystery twist turn time really funny buddy cop comedy truly funny sequence addition already hilarious dmv sloth sequence like,2016-02,49
4.0,★★★★,2016-02-21,"★★★★
Watched by Tintin 21 Feb 2016
2
This review may contain spoilers. I can handle the truth.







No likes yet",21,en,watched tintin feb review may contain spoiler handle truth like yet,2016-02,11
4.0,★★★★,2016-02-20,"★★★★
Watched by DynamicCalories 20 Feb 2016
I liked the Fox and the Rabbit www.eyeforfilm.co.uk/review/zootropolis-2016-film-review-by-luke-shaw
No likes yet",18,en,watched dynamiccalories feb liked fox rabbit www eyeforfilm co uk review zootropolis film review luke shaw like yet,2016-02,18
3.5,★★★½,2016-02-21,"★★★½
Watched by Jeremy Crabb 21 Feb 2016
1
Though it falls into some big cliches, and is very predictable, Zootopia touches on some issues in society that needed to be discussed at this point in time, and it is beautifully animated. The voice talent is all great, and the two lead characters are very likable, though not incredibly memorable. It has some great humor as well, and I can't deny that I had fun with it. Though it may be very formulaic, Zootopia is very fun and it has the balls to address issues that should be addressed and discussed, so I must give it credit for that.
GRADE: B
8 likes",113,en,watched jeremy crabb feb though fall big cliche predictable zootopia touch issue society needed discussed point time beautifully animated voice talent great two lead character likable though incredibly memorable great humor well deny fun though may formulaic zootopia fun ball address issue addressed discussed must give credit grade b like,2016-02,50
4.0,★★★★,2016-02-21,"★★★★ Watched by Ralph 21 Feb 2016
Animation is not a genre and should not be stereotyped as for kids only. Disney's Zootopia cleverly conveys that and more as it goes beyond the usual ""follow your dreams"" by dealing with social issues such as prejudice, discrimination, and stereotypes. The result? A complex mystery film with two unlikely friends learning from life's mistakes as they discover more about society through each other's eyes. Their journey serves as a social commentary on how an individual's worth can be unfairly ignored. They stood up against hasty generalizations and ultimately showed us that there can be unity in diversity.
10 likes",107,en,watched ralph feb animation genre stereotyped kid disney zootopia cleverly conveys go beyond usual follow dream dealing social issue prejudice discrimination stereotype result complex mystery film two unlikely friend learning life mistake discover society eye journey serf social commentary individual worth unfairly ignored stood hasty generalization ultimately showed u unity diversity like,2016-02,52
4.5,★★★★½,2016-02-22,"★★★★½
Watched by Nik 22 Feb 2016
'Zootopia' is a fun, mystery, thriller from Disney Animation. Our heroes Officer Judy Hopps (Ginnifer Goodwin) and Nick Wilde (Jason Bateman) go on a journey to find the cause for citizens of Zootopia to turn back to their primal instincts and become as they say, ""savage.""
The star-studded voice cast including Idris Elba, JK Simmons, Jenny Slate and Bonnie Hunt (just to name a few) make the film more serious and add their own senses of humor to it as… more
2 likes",90,en,watched nik feb zootopia fun mystery thriller disney animation hero officer judy hopps ginnifer goodwin nick wilde jason bateman go journey find cause citizen zootopia turn back primal instinct become say savage star studded voice cast including idris elba jk simmons jenny slate bonnie hunt name make film serious add sens humor like,2016-02,53
3.5,★★★½,2016-02-21,"★★★½
Watched by Joan of Art 21 Feb 2016
I wasn't expecting much of this movie... And it turned out to be a good surprise! It's one of those Disney's that manage to capture your attention and make you laugh often, showing off narrative skills strong enough to make you forget it's only a copy of the precedent storyline.
So. A female bunny born on a farm wants to be a cop in the big city Zootopia, one job a ''small animal'' has never had before. Despite everyone's reluctance… more
2 likes",92,en,watched joan art feb expecting much movie turned good surprise one disney manage capture attention make laugh often showing narrative skill strong enough make forget copy precedent storyline female bunny born farm want cop big city zootopia one job small animal never despite everyone reluctance like,2016-02,46
4.0,★★★★,2016-02-22,"★★★★
Watched by Sigfred Storstrand 22 Feb 2016
Disney has managed to tackle some incredibly current themes, with a great piece of social commentary, made available for all ages. Also probably the best buddy-cop movie since 21 Jump Street.
18 likes",41,en,watched sigfred storstrand feb disney managed tackle incredibly current theme great piece social commentary made available age also probably best buddy cop movie since jump street like,2016-02,27
3.0,★★★,2016-02-22,"★★★ Watched by Paulus Theodore 22 Feb 2016
Beautiful, funny and clever. Go see Zootopia with your kids.
1 like",20,en,watched paulus theodore feb beautiful funny clever go see zootopia kid like,2016-02,12
4.0,★★★★,2016-02-20,"★★★★
Watched by Rev. Luis FlowErs 20 Feb 2016
In a world where the animals evolved and live in armonie, a little police officer rabbit has to solve a missing animal case in 48 hrs.
It's all about what is the preferred nomenclature... And... Animal stereotypes, and be racially pretty cool.
Great movie, very film noir-ish. Lotta ins lotta outs, lotta what-have-yous. Very funny.
4 likes",66,en,watched rev luis flower feb world animal evolved live armonie little police officer rabbit solve missing animal case hr preferred nomenclature animal stereotype racially pretty cool great movie film noir ish lotta in lotta out lotta yous funny like,2016-02,39
4.0,★★★★,2016-02-22,"★★★★ Watched by stirnmeister 22 Feb 2016
mr big was hilarious!! :) kids liked it, as did i!
2 likes",20,en,watched stirnmeister feb mr big hilarious kid liked like,2016-02,9
3.5,★★★½,2016-02-22,"★★★½
Watched by hoppippollo 22 Feb 2016
LOS PEREZOSOS.
1 like",11,en,watched hoppippollo feb los perezosos like,2016-02,6
4.0,★★★★,2016-02-22,"★★★★
Rewatched by Nathan Hermans 22 Feb 2016
1
When Disney first introduced Zootopia I had a lot of doubts about this film. The concept of the human like animals has been done multiple times already, so how can this be any different and bring originality to the table? To be honest, Zootopia blew me away in ways I didn’t expect. First of all, this film is beautiful. The animation is almost perfect. Especially the city itself is spectacular, from its different environments to its colorful inhabitants. There is… more
3 likes",92,en,rewatched nathan herman feb disney first introduced zootopia lot doubt film concept human like animal done multiple time already different bring originality table honest zootopia blew away way expect first film beautiful animation almost perfect especially city spectacular different environment colorful inhabitant like,2016-02,43
4.5,★★★★½,2016-02-22,"★★★★½ Watched by Flo 22 Feb 2016
I was surprised of how much I liked this buddy cop comedy with anthropomorphic animals. The attention to detail is amazing, the dialogue is clever, the story is interesting. The moral of the story is a little bit too obvious, but hey! It's a kids movie. And kids are dumb. :)
2 likes",60,en,watched flo feb surprised much liked buddy cop comedy anthropomorphic animal attention detail amazing dialogue clever story interesting moral story little bit obvious hey kid movie kid dumb like,2016-02,29
0.5,½,2016-02-22,"½ Watched by idris 22 Feb 2016
this pro-cop propaganda
2 likes",12,en,watched idris feb pro cop propaganda like,2016-02,7
4.0,★★★★,2016-02-22,"★★★★ Watched by Elmes Tizo 22 Feb 2016
Great characters, lots of funny moments, the conspiracy case was actually pretty detailed and interesting and it takes the concept of anthropomorphic animals to its full potential creating one of the most unique worlds Disney has ever put on film, while at the same time adding a pretty well written ""don´t judge a book by its cover"" message along with a pretty clever hidden criticism of reverse racism and discrimination.
Once again, Disney Animation Studios is showing amazing quality.
2 likes",89,en,watched elmes tizo feb great character lot funny moment conspiracy case actually pretty detailed interesting take concept anthropomorphic animal full potential creating one unique world disney ever put film time adding pretty well written judge book cover message along pretty clever hidden criticism reverse racism discrimination disney animation studio showing amazing quality like,2016-02,53
3.5,★★★½,2016-02-21,"★★★½ Watched by Via 21 Feb 2016
interesting story, cute characters and a good script.
3 likes",17,en,watched via feb interesting story cute character good script like,2016-02,10
3.5,★★★½,2016-02-20,"★★★½
Watched by Tikahani 20 Feb 2016
Once again (and no wonder), Disney made it in making an animation movie full of moral values...
1 like",26,en,watched tikahani feb wonder disney made making animation movie full moral value like,2016-02,13
3.5,★★★½,2016-02-22,"★★★½ Watched by Tim Bennett 22 Feb 2016
Disney Animation’s latest effort is probably the most frustrating film they’ve produced since dropping 2D animation. On one hand the film is portrayed and marketed as a fairly typical animated film for kids: anthropomorphized animals, lots of puns, bright colors and pointless musical numbers. On the other hand the film starts drawing parallels to real-world issues in an obvious manner, couple this with a shift towards darker and more unsettling imagery in the latter half and it becomes clear that… more
2 likes",91,en,watched tim bennett feb disney animation latest effort probably frustrating film produced since dropping animation one hand film portrayed marketed fairly typical animated film kid anthropomorphized animal lot pun bright color pointless musical number hand film start drawing parallel real world issue obvious manner couple shift towards darker unsettling imagery latter half becomes clear like,2016-02,55
4.0,★★★★,2016-02-21,"★★★★
Watched by Mark James Atienza 21 Feb 2016
Relishing a creative sense of imagination visually, ""Zootopia"" creates an appealing animated world (through the Animal Kingdom) that successfully emphasized its message about diversity. Even with its plotting and characterizations it triumphed, featuring mortal enemies as allies and turning seemingly-innocent ones as villains. A bold statement indeed, and it knows how to tinker with it: wrapping it up on a crime/mystery thriller vibe and well-crafted sense of humor. The only problem was its emotional baggage that gets wearily imposed but still, this animated feature rocks.
2 likes",96,en,watched mark james atienza feb relishing creative sense imagination visually zootopia creates appealing animated world animal kingdom successfully emphasized message diversity even plotting characterization triumphed featuring mortal enemy ally turning seemingly innocent one villain bold statement indeed know tinker wrapping crime mystery thriller vibe well crafted sense humor problem emotional baggage get wearily imposed still animated feature rock like,2016-02,59
5.0,★★★★★,2016-02-22,"★★★★★
Watched by Brent Vanhomwegen 22 Feb 2016
""Life's a little bit messy. We all make mistakes. No matter what type of animal you are, change starts with you""
- Judy Hopps
So the newest Disney Animation movie tells the story about a bunny, Judy Hopps, who wants to become a police officer and wants to be taken seriously. So she decides to move to the big city of Zootropolis or Zootopia what ever, where she believes anyone can be anything...buuuuuut yeah she was naif. Everything in the… more
7 likes",91,en,watched brent vanhomwegen feb life little bit messy make mistake matter type animal change start judy hopps newest disney animation movie tell story bunny judy hopps want become police officer want taken seriously decides move big city zootropolis zootopia ever belief anyone anything buuuuuut yeah naif everything like,2016-02,48
4.0,★★★★,2016-02-22,"★★★★ Watched by Marina Rossi 22 Feb 2016
I really enjoyed Zootopia especially for the dialogues. The storyline is too much a classical one, and Disney is unable to ""let go"" some boring stereotypes in character design (especially regarding gender and body image). It's like you have two different stories: the one told in words, dialogues and relationship between characters, and the ore one told in images and visual representation of each character itself. Overall, it's a funny buddy cop movie with some very good shots.
""You probably… more
4 likes",91,en,watched marina rossi feb really enjoyed zootopia especially dialogue storyline much classical one disney unable let go boring stereotype character design especially regarding gender body image like two different story one told word dialogue relationship character ore one told image visual representation character overall funny buddy cop movie good shot probably like,2016-02,52
4.5,★★★★½,2016-02-23,"★★★★½
Watched by Caty Alexandre 23 Feb 2016
What a lovely surprise!!
16 likes",14,en,watched caty alexandre feb lovely surprise like,2016-02,7
4.5,★★★★½,2016-02-21,"★★★★½
Watched by 𝐭𝐡𝐞𝐟𝐚𝐲𝐨 21 Feb 2016
REALLY pleasantly surprised by this movie! It's so sweet! And I think really good for the little ones; they can take away such great morals from this. Wasn't expecting much after seeing all the posters and trailers (I was mostly like ""Meh"" and ""Why does this have a Dreamworks vibe to it though...hmm"") but wow it's so much more than what they promoted/marketed it to be! Definitely a gem.
Clever, ACTUALLY funny, has its tear-jerking moments, explores all the being-a-kid-in-2016… more
3 likes",90,en,watched feb really pleasantly surprised movie sweet think really good little one take away great moral expecting much seeing poster trailer mostly like meh dreamworks vibe though hmm wow much promoted marketed definitely gem clever actually funny tear jerking moment explores kid like,2016-02,43
1.5,★½,2016-02-22,"★½ Watched by Matthew Saponar 22 Feb 2016
what
12 likes",11,en,watched matthew saponar feb like,2016-02,5
4.0,★★★★,2016-02-22,"★★★★
Watched by Gibran Meza 22 Feb 2016
1
Surprisingly funny, well thought, and with a good-yet unconventional story (as far as kid films goes).
Keep up the good work Disney.
2 likes",33,en,watched gibran meza feb surprisingly funny well thought good yet unconventional story far kid film go keep good work disney like,2016-02,21
4.0,★★★★,2016-02-18,"★★★★ Watched by Casey 18 Feb 2016
Blending strong message of prejudice and discrimination with classic detective story, ZOOTOPIA is a fun yet well-meaning animated comedy.
Read my full review here: www.caseymoviemania.com/2016/02/review-zootopia-2016.html
1 like",34,en,watched casey feb blending strong message prejudice discrimination classic detective story zootopia fun yet well meaning animated comedy read full review www caseymoviemania com review zootopia html like,2016-02,28
