rating,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count
5.0,2020-10-13,I don't think I've seen an animated film that tackled heavy themes about prejudice and hate better than or as uniquely as Zootopia. Its vibrant and colorful animation bring to life this world used to present clever allegories for racism and sexism.,42,en,think seen animated film tackled heavy theme prejudice hate better uniquely zootopia vibrant colorful animation bring life world used present clever allegory racism sexism,2020-10,24
3.0,2020-10-10,Good animation. Tired and overdone story of racial/cultural acceptance - not deep in the slightest. The cameos are barely there. The preview wrapped up the only scene that makes the movie memorable.,32,en,good animation tired overdone story racial cultural acceptance deep slightest cameo barely preview wrapped scene make movie memorable,2020-10,18
5.0,2020-09-25,"This by far is in my top three Disney animated movies of all time. This film is not just in an original idea having animals live in our world by their own means, but it also talks about important modern day problems such as racism, sexuality and much much more. It also ends up being a buddy cop film, Where a fox and a rabbit are hunting down some of Zootopia’s warrants. Everything in this film is perfect as far as I’m concerned the visuals, the score, the voice acting etc. I went into this film with mediocre expectations and I heard nothing but amazing things before I saw it in theaters and even going in with decent expectations my mind is still blown even after my fifth rewatch. This is one of those movies that is clearly just pure Disney magic.",142,en,far top three disney animated movie time film original idea animal live world mean also talk important modern day problem racism sexuality much much also end buddy cop film fox rabbit hunting zootopia warrant everything film perfect far concerned visuals score voice acting etc went film mediocre expectation heard nothing amazing thing saw theater even going decent expectation mind still blown even fifth rewatch one movie clearly pure disney magic,2020-09,70
5.0,2020-09-16,This movie is so exciting and one of disney's best.,10,en,movie exciting one disney best,2020-09,5
4.0,2020-09-12,"Zootopia has some flaws, the first is the villain. Its stops the story and appears only for 5 minutes. The pointless Action scene at the end, the stiff way to hammer down fox's backstory and some of the characters (other than the villain) has not much of a moment to shine and a full impacts while also not having any likeable personalities. On the other hand, this film is great by not hammering down the massage, some clever scenes at times and some likable characters (especially the main once). I do have one criticism with the animation, the places gets reused and repeatetive. Story 8/10 Animation 9/10 Characters 8/10 8/10",110,en,zootopia flaw first villain stop story appears minute pointless action scene end stiff way hammer fox backstory character villain much moment shine full impact also likeable personality hand film great hammering massage clever scene time likable character especially main one criticism animation place get reused repeatetive story animation character,2020-09,49
4.5,2020-09-09,This is an exceptional animated film that handles ideas like racial bias and stereotyping in a way that teaches moral lessons accessible to all members of a family for every generation from children to parents to grandparents regardless of their level of life experience.,44,en,exceptional animated film handle idea like racial bias stereotyping way teach moral lesson accessible member family every generation child parent grandparent regardless level life experience,2020-09,25
5.0,2020-09-09,"A powerful film that can serve as a great introduction to a complicated little thing called ""real life"" to kids.",20,en,powerful film serve great introduction complicated little thing called real life kid,2020-09,12
3.5,2020-09-06,"I like 'Zootopia', it's much better than I had anticipated. First off, the animation is superb - as we expect from Disney of course, but that doesn't change the fact. Ginnifer Goodwin (Judy) leads the cast very well, while Jason Bateman gives the most memorable performance as Nick. Idris Elba and Jenny Slate (not Edie Falco or Constance Shulman, as I initially guessed... just me? Probably) are good too. The premise is actually my favourite part of this film. I'm not saying it's anything revolutionary, but it actually feels fresh throughout - I enjoyed seeing it play out, it's paced perfectly. There's a nice 'Breaking Bad' reference in there, too. An entertaining 2016 animated film, one that also has a positive message. Recommended.",123,en,like zootopia much better anticipated first animation superb expect disney course change fact ginnifer goodwin judy lead cast well jason bateman give memorable performance nick idris elba jenny slate edie falco constance shulman initially guessed probably good premise actually favourite part film saying anything revolutionary actually feel fresh throughout enjoyed seeing play paced perfectly nice breaking bad reference entertaining animated film one also positive message recommended,2020-09,66
5.0,2020-09-01,"This is one of my favorite animated films of the last 10 years, and for so many reasons! It feels fresh and different story wise, and there are plenty of excellent characters. Jason Bateman's star shines brightly with some solid voice acting, but does not overwhelm a sky full of memorable characters. Judy Hopps, played by Ginnifer Goodwin is wonderful and perfect, and also my new crush. She is sweet and naive, but grows exponentially as she attempts to overcome her perceived limitations as a police officer who is small in stature, but with enough resourcefulness and heart to overcome any situation. Zootopia is infinitely rewatchable, and I plan to keep this on standby for those rainy days when I don't need to think, but I just need to laugh and have fun.",133,en,one favorite animated film last year many reason feel fresh different story wise plenty excellent character jason bateman star shine brightly solid voice acting overwhelm sky full memorable character judy hopps played ginnifer goodwin wonderful perfect also new crush sweet naive grows exponentially attempt overcome perceived limitation police officer small stature enough resourcefulness heart overcome situation zootopia infinitely rewatchable plan keep standby rainy day need think need laugh fun,2020-09,69
5.0,2020-08-13,Zootopia manages to be a critic of society with a lot of fun and a great universe.,17,en,zootopia manages critic society lot fun great universe,2020-08,8
